Country,Estimated number of malaria cases 2020
Afghanistan,253 158 [ 195 000- 321 000]
Albania,No malaria
Algeria,No malaria
Andorra,No malaria
Angola,8 268 572 [5 484 000-11 960 000]
Antigua and Barbuda,No malaria
Argentina,No malaria
Armenia,No malaria
Australia,No malaria
Austria,No malaria
Azerbaijan,No malaria
Bahamas,No malaria
Bahrain,No malaria
Bangladesh,7 545 [ 6 400- 8 700]
Barbados,No malaria
Belarus,No malaria
Belgium,No malaria
Belize,0
Benin,4 707 522 [3 326 000-6 488 000]
Bhutan,22
Bolivia (Plurinational State of),16 506 [ 13 000- 20 000]
Bosnia and Herzegovina,No malaria
Botswana,1 759 [ 1 200- 2 700]
Brazil,167 097 [ 150 000- 181 000]
Brunei Darussalam,No malaria
Bulgaria,No malaria
Burkina Faso,8 150 690 [5 042 000-12 410 000]
Burundi,3 506 219 [2 131 000-5 442 000]
Cabo Verde,0
Cambodia,69 136 [ 60 000- 81 000]
Cameroon,6 900 814 [4 506 000-10 120 000]
Canada,No malaria
Central African Republic,1 622 774 [ 831 000-2 900 000]
Chad,3 351 197 [1 870 000-5 676 000]
Chile,No malaria
China,No malaria
Colombia,105 995 [ 81 000- 133 000]
Comoros,4546
Congo,1 176 331 [ 722 000-1 826 000]
Cook Islands,No malaria
Costa Rica,90
Côte d'Ivoire,7 571 801 [7 571 801 - 4 087 000]
Croatia,No malaria
Cuba,No malaria
Cyprus,No malaria
Czechia,No malaria
Democratic People's Republic of Korea,1819
Democratic Republic of the Congo,29 036 471 [22 260 000-37 180 000]
Denmark,No malaria
Djibouti,72332
Dominica,No malaria
Dominican Republic,1 019 [ 870- 1 200]
Ecuador,1934
Egypt,No malaria
El Salvador,No malaria
Equatorial Guinea,337 892 [ 190 000- 553 000]
Eritrea,158 889 [ 102 000- 221 000]
Estonia,No malaria
Eswatini,233
Ethiopia,4 231 328 [2 340 000-6 335 000]
Fiji,No malaria
Finland,No malaria
France,No malaria
Gabon,479 563 [ 259 000- 818 000]
Gambia,210 897 [ 148 000- 301 000]
Georgia,No malaria
Germany,No malaria
Ghana,5 060 166 [3 467 000-7 087 000]
Greece,No malaria
Grenada,No malaria
Guatemala,1 241 [ 1 100- 1 400]
Guinea,4 196 430 [2 549 000-6 522 000]
Guinea-Bissau,174 987 [ 48 000- 474 000]
Guyana,22 159 [ 19 000- 26 000]
Haiti,38 078 [ 25 000- 51 000]
Honduras,1 098 [ 860- 1 300]
Hungary,No malaria
Iceland,No malaria
India,4 148 253 [2 738 000-5 971 000]
Indonesia,784 854 [ 718 000- 864 000]
Iran (Islamic Republic of),No malaria
Iraq,No malaria
Ireland,No malaria
Israel,No malaria
Italy,No malaria
Jamaica,No malaria
Japan,No malaria
Jordan,No malaria
Kazakhstan,No malaria
Kenya,2 738 383 [1 564 000-4 452 000]
Kiribati,No malaria
Kuwait,No malaria
Kyrgyzstan,No malaria
Lao People's Democratic Republic,5 674 [ 4 100- 7 500]
Latvia,No malaria
Lebanon,No malaria
Lesotho,No malaria
Liberia,1 810 880 [1 070 000-2 861 000]
Libya,No malaria
Lithuania,No malaria
Luxembourg,No malaria
Madagascar,3 695 590 [2 759 000-4 729 000]
Malawi,4 370 301 [2 354 000-7 403 000]
Malaysia,No malaria
Maldives,No malaria
Mali,7 238 665 [5 124 000-10 280 000]
Malta,No malaria
Marshall Islands,No malaria
Mauritania,139 446 [ 55 000- 250 000]
Mauritius,No malaria
Mexico,356
Micronesia (Federated States of),No malaria
Monaco,No malaria
Mongolia,No malaria
Montenegro,No malaria
Morocco,No malaria
Mozambique,10 007 802 [7 209 000-13 430 000]
Myanmar,82 434 [ 67 000- 99 000]
Namibia,20 258 [ 16 000- 25 000]
Nauru,No malaria
Nepal,245 [ 200- 310]
Netherlands,No malaria
New Zealand,No malaria
Nicaragua,33 244 [ 28 000- 39 000]
Niger,7 845 520 [3 807 000-14 670 000]
Nigeria,64 677 959 [46 460 000-87 350 000]
Niue,No malaria
Norway,No malaria
Oman,No malaria
Pakistan,542 960 [ 427 000- 724 000]
Palau,No malaria
Panama,2 306 [ 2 200- 2 500]
Papua New Guinea,1 470 120 [1 009 000-1 978 000]
Paraguay,No malaria
Peru,29 745 [ 22 000- 41 000]
Philippines,43 023 [ 23 000- 182 000]
Poland,No malaria
Portugal,No malaria
Qatar,No malaria
Republic of Korea,356
Republic of Moldova,No malaria
North Macedonia,No malaria
Romania,No malaria
Russian Federation,No malaria
Rwanda,2 986 047 [2 189 000-3 842 000]
Saint Kitts and Nevis,No malaria
Saint Lucia,No malaria
Saint Vincent and the Grenadines,No malaria
Samoa,No malaria
San Marino,No malaria
Sao Tome and Principe,1933
Saudi Arabia,83
Senegal,836 014 [ 568 000-1 134 000]
Serbia,No malaria
Seychelles,No malaria
Sierra Leone,2 617 968 [1 393 000-4 451 000]
Singapore,No malaria
Slovakia,No malaria
Slovenia,No malaria
Solomon Islands,114 019 [ 99 000- 135 000]
Somalia,829 649 [ 491 000-1 247 000]
South Africa,4463
South Sudan,3 211 331 [1 752 000-5 412 000]
Spain,No malaria
Sri Lanka,No malaria
Sudan,3 218 465 [1 601 000-5 766 000]
Suriname,147
Sweden,No malaria
Switzerland,No malaria
Syrian Arab Republic,No malaria
Tajikistan,No malaria
Thailand,3007
Timor-Leste,4 [ 3- 4]
Togo,1 894 656 [1 288 000-2 662 000]
Tonga,No malaria
Trinidad and Tobago,No malaria
Tunisia,No malaria
Turkey,No malaria
Turkmenistan,No malaria
Tuvalu,No malaria
Uganda,12 982 097 [8 583 000-20 420 000]
Ukraine,No malaria
United Arab Emirates,No malaria
United Kingdom of Great Britain and Northern Ireland,No malaria
United Republic of Tanzania,7 178 459 [4 495 000-10 890 000]
United States of America,No malaria
Uruguay,No malaria
Uzbekistan,No malaria
Vanuatu,910 [ 700- 1 200]
Venezuela (Bolivarian Republic of),231 743 [ 206 000- 267 000]
Viet Nam,1 657 [ 1 500- 1 800]
Yemen,780 106 [ 549 000-1 117 000]
Zambia,3 435 936 [2 199 000-5 158 000]
Zimbabwe,1 152 901 [ 692 000-1 649 000]
