measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Uganda,Both,1-4 years,Malaria,Number,2019,3947101.150054503,6269162.451825407,1611790.2638455792
Incidence,Uganda,Both,5-9 years,Malaria,Number,2019,1840020.4399258513,3729559.6414218233,925398.4685064456
Incidence,Uganda,Both,All ages,Malaria,Number,2019,10706226.922620868,16116118.848424813,6237277.024745987
Incidence,Uganda,Both,<1 year,Malaria,Number,2019,698494.542775205,1109553.47632841,282270.0124398141
Incidence,Uganda,Both,10-19 years,Malaria,Number,2019,2395142.886169585,3738476.052752448,1452327.7095644968
Incidence,Uganda,Both,55+ years,Malaria,Number,2019,54646.90193604884,79116.39995381689,36001.184287340104
Incidence,Uganda,Both,20-54 years,Malaria,Number,2019,1770821.0017596756,2415280.667923812,1182175.3488863006
Incidence,Senegal,Both,1-4 years,Malaria,Number,2019,168623.51986048138,678974.2251277661,18308.23328399667
Incidence,Senegal,Both,5-9 years,Malaria,Number,2019,140036.42031502654,496273.4537614012,22414.737087653335
Incidence,Senegal,Both,All ages,Malaria,Number,2019,1097609.0369432715,3144891.8176696915,261767.88757414307
Incidence,Senegal,Both,<1 year,Malaria,Number,2019,28655.636594653246,116276.31954584437,3026.9209759290025
Incidence,Senegal,Both,10-19 years,Malaria,Number,2019,267928.13862298103,845083.2650748666,57368.92800623958
Incidence,Senegal,Both,55+ years,Malaria,Number,2019,55371.60986452062,73608.40306047758,24562.644382540864
Incidence,Senegal,Both,20-54 years,Malaria,Number,2019,436993.71168560913,960926.8746832055,136086.42383778357
Incidence,Sao Tome and Principe,Both,<1 year,Malaria,Number,2019,77.32456634636186,124.87434200089652,25.234556553338138
Incidence,Sao Tome and Principe,Both,10-19 years,Malaria,Number,2019,1492.7439167999487,2123.796675912802,668.0709736145702
Incidence,Sao Tome and Principe,Both,55+ years,Malaria,Number,2019,551.2319340488807,703.3456372868193,296.2588568452936
Incidence,Sao Tome and Principe,Both,20-54 years,Malaria,Number,2019,3535.201770745349,4732.216827145242,1763.0925801602573
Incidence,Sierra Leone,Both,1-4 years,Malaria,Number,2019,943206.9154861053,1568116.7779878774,309172.8231639882
Incidence,Sierra Leone,Both,5-9 years,Malaria,Number,2019,421722.12494209746,798904.3891318294,224676.03438463405
Incidence,Sierra Leone,Both,All ages,Malaria,Number,2019,2598812.373169446,3739667.3665784085,1315528.4627514349
Incidence,Sierra Leone,Both,<1 year,Malaria,Number,2019,168038.03472155108,279370.6865827495,55083.50316526783
Incidence,Sierra Leone,Both,10-19 years,Malaria,Number,2019,558140.0148132489,853426.2392982696,334773.3127030369
Incidence,Sierra Leone,Both,55+ years,Malaria,Number,2019,16529.30249920104,24199.546359331503,9815.719337938777
Incidence,Sierra Leone,Both,20-54 years,Malaria,Number,2019,491175.9807072424,707707.7670379092,295468.9401938266
Incidence,Zambia,Both,1-4 years,Malaria,Number,2019,869274.3808746309,1576978.4996699863,457389.9742070972
Incidence,Zambia,Both,5-9 years,Malaria,Number,2019,456282.1983477763,708012.4941002459,231446.3642057184
Incidence,Zambia,Both,All ages,Malaria,Number,2019,2826255.1598848593,4252584.2757294625,1767998.0223896164
Incidence,Zambia,Both,<1 year,Malaria,Number,2019,150210.5769193579,272524.0695674822,79043.42239003764
Incidence,Zambia,Both,10-19 years,Malaria,Number,2019,667524.2309756866,986379.9965701094,404632.370896713
Incidence,Zambia,Both,55+ years,Malaria,Number,2019,19260.376248277484,29243.843739000793,12314.850484424991
Incidence,Zambia,Both,20-54 years,Malaria,Number,2019,663703.3965191307,992792.5979482768,429806.7127889964
Incidence,Cameroon,Both,1-4 years,Malaria,Number,2019,2400895.228568839,4397000.666220546,964055.7183778577
Incidence,Cameroon,Both,5-9 years,Malaria,Number,2019,1211631.6707077995,2089504.1987954022,646792.3882462838
Incidence,Sao Tome and Principe,Both,1-4 years,Malaria,Number,2019,495.777846980155,796.622222689122,164.06798473146762
Incidence,Sao Tome and Principe,Both,5-9 years,Malaria,Number,2019,588.3239702716484,882.4921113953135,232.70815216915796
Incidence,Sao Tome and Principe,Both,All ages,Malaria,Number,2019,6740.604005192345,9363.347816430201,3149.433104074085
Incidence,Cameroon,Both,All ages,Malaria,Number,2019,7138203.08591428,11773108.883987408,4343988.152287153
Incidence,Cameroon,Both,<1 year,Malaria,Number,2019,406361.5583621011,744279.486179635,161768.5887005542
Incidence,Cameroon,Both,10-19 years,Malaria,Number,2019,1633635.2051257878,2675498.740394395,1031495.7278698423
Incidence,Cameroon,Both,55+ years,Malaria,Number,2019,49175.13935583527,73054.58501829549,32795.60770858984
Incidence,Cameroon,Both,20-54 years,Malaria,Number,2019,1436504.2837939167,2164018.712174017,971469.6688996213
Incidence,Angola,Both,1-4 years,Malaria,Number,2019,2284352.1630016575,3782299.1450075167,1227513.4179017462
