measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eritrea,Both,1-4 years,Malaria,Number,2019,13913.649719214103,28302.545297034158,6024.66506832155
Prevalence,Eritrea,Both,5-9 years,Malaria,Number,2019,17490.970016105653,35350.59920162571,7774.186042066006
Prevalence,Eritrea,Both,All ages,Malaria,Number,2019,78032.51083568261,155730.44387055596,35079.00923313308
Prevalence,Mauritania,Both,1-4 years,Malaria,Number,2019,39883.84383261949,256134.50166279534,4496.377948793687
Prevalence,Mauritania,Both,5-9 years,Malaria,Number,2019,53618.31293472141,342697.27614781697,6318.617310668306
Prevalence,Mauritania,Both,All ages,Malaria,Number,2019,304370.9274464213,1942306.6762671415,36280.63839879252
Prevalence,Burkina Faso,Both,1-4 years,Malaria,Number,2019,1174066.8703435396,1959987.6986610242,227272.8961759985
Prevalence,Burkina Faso,Both,5-9 years,Malaria,Number,2019,1315470.22461881,2194964.9319245224,255931.98090384345
Prevalence,Burkina Faso,Both,All ages,Malaria,Number,2019,6919632.507290999,11541023.4667325,1353030.8355519772
Prevalence,South Sudan,Both,1-4 years,Malaria,Number,2019,233229.94465913472,473588.05184596556,48312.08538755808
Prevalence,South Sudan,Both,5-9 years,Malaria,Number,2019,273190.8170462649,554837.5114233121,56905.94496993535
Prevalence,South Sudan,Both,All ages,Malaria,Number,2019,1505656.1727873485,3055731.768723256,314721.74294364825
Prevalence,Angola,Both,1-4 years,Malaria,Number,2019,569597.16424049,735491.7265249933,445548.5704887682
Prevalence,Angola,Both,5-9 years,Malaria,Number,2019,695228.2764137158,897056.1899590369,544355.8293654773
Prevalence,Angola,Both,All ages,Malaria,Number,2019,3471085.247253687,4477099.4954782,2719284.398087984
Prevalence,Uganda,Both,1-4 years,Malaria,Number,2019,2320941.037011058,2840325.770572611,2007421.6942334257
Prevalence,Uganda,Both,5-9 years,Malaria,Number,2019,2696809.6278018076,3300069.7310709935,2332855.3800379345
Prevalence,Uganda,Both,All ages,Malaria,Number,2019,14144212.707094219,17305769.30245006,12236752.015890654
Prevalence,Zambia,Both,1-4 years,Malaria,Number,2019,314620.2987395078,463554.49873782025,177225.7425790934
Prevalence,Zambia,Both,5-9 years,Malaria,Number,2019,375522.4611705486,552976.5618631244,211802.69456070193
Prevalence,Zambia,Both,All ages,Malaria,Number,2019,2098027.329532583,3087835.406706675,1184936.8775718985
Prevalence,Ethiopia,Both,1-4 years,Malaria,Number,2019,746569.9917540586,1280936.5129628784,420119.5328704148
Prevalence,Ethiopia,Both,5-9 years,Malaria,Number,2019,891388.4428193016,1517225.2205831571,502188.0479276309
Prevalence,Ethiopia,Both,All ages,Malaria,Number,2019,4480495.409327135,7830158.421371026,2548688.2527340935
Prevalence,Central African Republic,Both,1-4 years,Malaria,Number,2019,209599.60568404515,406835.4604875366,61665.58484149215
Prevalence,Central African Republic,Both,5-9 years,Malaria,Number,2019,239930.20606250194,465330.5680908594,70875.16525957822
Prevalence,Central African Republic,Both,All ages,Malaria,Number,2019,1370331.0205182065,2656114.487061246,405875.80386697967
