,Country Code,Country Name,Pop1
0,AGO,Angola,14791780.999999998
1,BDI,Burundi,4984439.0
2,BEN,Benin,4710313.0
3,BFA,Burkina Faso,8572133.0
4,BWA,Botswana,387454.9391760929
5,CAF,Central African Republic,1801934.0
6,CIV,Côte d'Ivoire,10162791.0
7,CMR,Cameroon,9907146.0
8,COD,Democratic Republic of the Congo,39442470.0
9,COG,Congo,1989888.0
10,COM,Comoros,287365.0
11,ERI,Eritrea,1128777.0
12,ETH,Ethiopia,26910260.054717876
13,GAB,Gabon,709155.0
14,GHA,Ghana,9709155.0
15,GIN,Guinea,5152604.0
16,GMB,Gambia,1002183.0
17,GNB,Guinea-Bissau,715588.0
18,GNQ,Equatorial Guinea,501026.0
19,KEN,Kenya,16748838.0
20,LBR,Liberia,1798543.0
21,MDG,Madagascar,10125435.0
22,MLI,Mali,9046509.0
23,MOZ,Mozambique,12862197.0
24,MRT,Mauritania,1672649.0
25,MWI,Malawi,7284487.0
26,NAM,Namibia,591841.0541323422
27,NER,Niger,12730586.0
28,NGA,Nigeria,82920324.0
29,RWA,Rwanda,4348869.0
30,SEN,Senegal,6253431.000000001
31,SLE,Sierra Leone,2667543.0
32,SSD,South Sudan,4079392.0
33,STP,Sao Tome and Principe,75335.0
34,SWZ,Eswatini,86226.59099483254
35,TCD,Chad,7205453.809460912
36,TGO,Togo,2953960.0
37,TZA,United Republic of Tanzania,24455006.0
38,UGA,Uganda,18211723.0
39,ZAF,South Africa,1242760.4836984808
40,ZMB,Zambia,7427474.0
41,ZWE,Zimbabwe,3596450.521385781
