country,GDPpercap,U5_mortality,trr,tfr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_tfr,tfr_lower,tfr_upper
Angola,2137.909393390838,71.47,0.181,0.03725,0.5590062032683668,0.3094346717013558,-0.46273695567553924,0.9137648034587369,0.26070819657803934,0.1993516987362499,0.31774154210955635,0.02130883616592915,0.015837675898654504,0.02719323301143619
Benin,1428.4471767132468,85.94,0.175,0.0111666666666666,0.07287625044144601,0.9132421123171265,-0.4969313957765253,-0.5840157081070539,0.31303807337055645,0.24914447008071264,0.37280125721843854,0.021167377244871197,0.015318812474264917,0.026935766209702276
Botswana,7347.552382319509,44.84,,,2.047314899836016,-0.801788005810598,,,0.12227594573986143,0.010186454391933608,0.23381832439819616,0.012481408995529847,-0.0003248839363012429,0.025411291873730306
Burkina Faso,918.15258192146,84.99,0.511,0.0878235294117647,-0.4599560553554835,0.873600296934612,1.4179572498786934,3.8178432732622,0.3258155531985607,0.26963494665851623,0.3832015953826422,0.020253162866464496,0.015137008713162429,0.025243814361402276
Burundi,236.7954141650953,54.35,0.47,0.0646,-2.093689139566536,-0.4049525697182705,1.1842952425219553,2.48428098203986,0.3240988101227118,0.20743246334331208,0.4298454554200397,0.02928540108226056,0.017074739987718142,0.04038779504022845
Cameroon,1661.7021052703203,72.21,0.382,0.0447,0.25522236366005857,0.3403135594729983,0.6827767877074934,1.3415653712989328,0.27293176638577976,0.22118253881183342,0.32276192830995687,0.021463010253683797,0.017068365530976456,0.02620821585860568
Central African Republic,511.4847455922382,103.0,0.341,0.0145,-1.1652629921941127,1.6251256601336468,0.4491147803507555,-0.39260605806669396,0.38108372398534157,0.25821118060110554,0.4998790912404996,0.014803648925978167,0.0025714289723598877,0.026722288782716132
Chad,696.4227755321263,110.0,0.2689999999999999,0.0045,-0.7931804581726277,1.9172232471626995,0.03878149913892229,-0.9668350081877626,0.3880994728329016,0.2757908952569132,0.4958997327240956,0.015380958450521742,0.004451171817661356,0.026344100941792233
Comoros,1494.6876933989874,61.34,0.267,0.0041818181818181,0.12752339553599332,-0.11327226495640191,0.027383352438594227,-0.9851059293279831,0.25010572945378856,0.20532310556660474,0.2943228210867397,0.02169949524852056,0.018072746704209802,0.025382718686951595
Congo,2213.880862881724,44.63,0.25,0.0142,0.6011026037322666,-0.8105509334214696,-0.06950089451419966,-0.409832926570326,0.18698159303799539,0.12918567478766335,0.24816908543576188,0.01962836838498808,0.013815681927496909,0.025696501884555144
Côte d'Ivoire,2578.7604120483165,77.91,0.175,0.007170731707317,0.7850247714607597,0.5781644517680843,-0.4969313957765253,-0.8134738617529936,0.2708574924078466,0.1901727630182274,0.34653352460274844,0.02179257478180862,0.01372245570468347,0.02957066676218984
Democratic Republic of the Congo,584.106409215842,81.18,0.292,0.01225,-1.0052065287384448,0.7146157531373709,0.16986018619270257,-0.5218075718439344,0.33358492153544944,0.2631749147480349,0.4011830768968827,0.02007969433796981,0.013144062259073918,0.02632351193445763
Equatorial Guinea,8462.286329620772,78.49,0.332,0.026375,2.2176026105674675,0.6023668232647772,0.3978231201992764,0.28929082020207486,0.22791041786918453,0.07242170386146807,0.3866650750879197,0.02281482314263958,0.006939409997958539,0.04038451680261697
Eritrea,642.5082588,39.27,0.015,0.03055,-0.8903210318332426,-1.034214228632287,-1.4087831318028197,0.5290314068776211,0.24332023748509465,0.15086265516067865,0.3305634588727608,0.028069862622522774,0.01912529700870749,0.036973971242198284
Eswatini,4214.861687815531,46.64,0.017,,1.3773252245312784,-0.726677197717413,-1.397384985102491,,0.15794528359940163,0.07871415071053844,0.23894380824094702,0.016143342415398186,0.00758043390468156,0.025367773422532776
Ethiopia,943.965684225205,48.71,0.077,0.0164782608695652,-0.4265304694536699,-0.6402997684102503,-1.0554405840926306,-0.27900859184709237,0.24269250077344473,0.18267318901531893,0.3020721577599701,0.02430324619425234,0.01902782297287317,0.02980194718469044
