country,ISO3,I_VE0,I_VE0_min,I_VE0_max,Ires_VE0,Ires_VE0_min,Ires_VE0_max,D_VE0,D_VE0_min,D_VE0_max,Ires2_VE0,Ires2_VE0_min,Ires2_VE0_max,I_VE1,I_VE1_min,I_VE1_max,Ires_VE1,Ires_VE1_min,Ires_VE1_max,D_VE1,D_VE1_min,D_VE1_max,Ires2_VE1,Ires2_VE1_min,Ires2_VE1_max,I_VE2,I_VE2_min,I_VE2_max,Ires_VE2,Ires_VE2_min,Ires_VE2_max,D_VE2,D_VE2_min,D_VE2_max,Ires2_VE2,Ires2_VE2_min,Ires2_VE2_max,I_VE3,I_VE3_min,I_VE3_max,Ires_VE3,Ires_VE3_min,Ires_VE3_max,D_VE3,D_VE3_min,D_VE3_max,Ires2_VE3,Ires2_VE3_min,Ires2_VE3_max,I_avd_VE1,I_avd_VE1_min,I_avd_VE1_max,Ires_avd_VE1,Ires_avd_VE1_min,Ires_avd_VE1_max,D_avd_VE1,D_avd_VE1_min,D_avd_VE1_max,Ires2_avd_VE1,Ires2_avd_VE1_min,Ires2_avd_VE1_max,I_avd_VE2,I_avd_VE2_min,I_avd_VE2_max,Ires_avd_VE2,Ires_avd_VE2_min,Ires_avd_VE2_max,D_avd_VE2,D_avd_VE2_min,D_avd_VE2_max,Ires2_avd_VE2,Ires2_avd_VE2_min,Ires2_avd_VE2_max,I_avd_VE3,I_avd_VE3_min,I_avd_VE3_max,Ires_avd_VE3,Ires_avd_VE3_min,Ires_avd_VE3_max,D_avd_VE3,D_avd_VE3_min,D_avd_VE3_max,Ires2_avd_VE3,Ires2_avd_VE3_min,Ires2_avd_VE3_max
Angola,AGO,21544597.131869722,17611648.91881953,28556361.62493365,145259.06001234864,97224.12516039854,215019.45356946657,62156.067386176575,45790.06098062353,87628.92005450407,1138175.7557999915,773781.8697532966,1698100.6766045713,19291741.42192532,15776857.868262896,25395799.698603824,130069.74360197598,86879.9991389158,191826.9318935771,55656.58863233623,40707.692160620805,78108.97677026816,1092283.9818635255,730641.2759179163,1607054.3970794852,15779149.497138051,15142955.288136855,24406785.92610967,106386.97069707903,83552.47488797872,183693.9039931168,45522.776473265716,39107.15472883092,75281.92848076689,925892.1679351289,730698.7481122571,1608019.1570637615,17677408.047157865,14450530.318282608,23431830.512225658,119185.50440595012,79775.98228846761,176443.48933931877,50999.24398988889,37565.99108920364,71913.91573718103,934295.0019226319,635213.4334706379,1394099.5177352997,2252855.7099444023,1834791.0505566346,3160561.926329826,15189.316410372652,10344.126021482743,23192.521675889457,6499.478753840351,5082.368820002733,9519.94328423591,45891.77393646614,43140.59383538032,91046.27952508612,5765447.63473167,2468693.6306826756,4149575.6988239773,38872.08931526959,13671.65027241982,31325.54957634976,16633.29091291086,6682.906251792609,12346.991573737168,45891.77393646614,43083.12164103957,90081.5195408098,3867189.0847118553,3161118.6005369215,5124531.112707994,26073.5556063985,17448.142871930926,38575.96423014782,11156.823396287684,8224.069891419893,15715.00431732303,45891.77393646614,138568.43628265875,304001.15886927175
Benin,BEN,11909241.680586115,10028829.09777128,14745766.246563002,23272.643117478558,16466.513061821508,34736.2102369447,30487.65870230045,21962.635670838554,41710.17160652559,561424.2195462857,391916.9319240202,839950.3060093885,9766134.618412392,8152410.423461384,11919567.820022551,19084.65473348077,13359.892241942009,28150.221695986518,25001.304623135722,17845.219496394937,33859.26846670621,528504.0797121921,355685.36864388344,767583.620908303,6479017.790644893,7531858.358255859,10980622.849686084,12661.080599218487,12318.555275091072,25902.557524636068,16586.28554405093,16601.683943856984,31315.377866133258,390880.2371496725,359286.63791570463,775043.1298176444,8304192.374772649,6992155.807930146,10284346.0331936,16227.775932368122,11483.806985162013,24220.368306985903,21258.732479417984,15307.287174103078,29101.334715453446,392069.5819762687,273751.1222891727,586481.7767051801,2143107.0621737223,1876418.6743098951,2826198.426540451,4187.988383997787,3106.6208198794993,6585.988540958183,5486.354079164727,4117.416174443617,7850.9031398193765,32920.13983409351,36231.56328013675,72366.6851010855,5430223.889941221,2496970.73951542,3765143.396876918,10611.562518260069,4147.957786730434,8833.652712308634,13901.373158249522,5360.951726981569,10394.79374039233,32920.13983409351,32630.294008315544,64907.17619174416,3605049.3058134653,3036673.2898411327,4461420.213369403,7044.867185110435,4982.706076659493,10515.841929958799,9228.926222882466,6655.348496735475,12608.83689107214,32920.13983409351,118165.80963484751,253468.52930420835
Botswana,BWA,1408.4327510286168,1198.5942282563199,1917.573337901206,2.149516387716948,1.4511415599378792,3.3307270196384575,3.6055878426328216,2.6912792490597504,5.480772027607,50.80651080237082,32.58702562334647,78.93340564569976,1120.4399223466517,936.4048860264411,1508.7779056288357,1.7099886187520874,1.124887202267921,2.6181286378327004,2.868326201207006,2.121527266177938,4.231116714818141,47.480252607790845,29.242824214319654,71.95796309179764,641.8135367475741,847.0928493941875,1378.40653100873,0.9795204734409368,1.0103851584376324,2.35791147909032,1.6430426540734169,1.9360640067298809,3.895944834943235,32.37270704909214,29.47650038440297,72.46751647250183,873.2317233994509,743.13104454609,1188.9012928246354,1.3327053764906729,0.8997112553673263,2.0650604167303004,2.2354732119022667,1.668598235378438,3.3980969639542407,31.500249855538172,20.204096095594856,48.939086340905746,287.9928286819653,262.1893422298787,408.7954322723704,0.4395277689648607,0.3262543576699582,0.712598381805757,0.7372616414258157,0.5697519828818123,1.2496553127888594,3.3262581945799843,3.3442014090268133,6.975442553902117,766.6192142810428,351.50137886213224,539.166806892476,1.1699959142760112,0.44075640150024675,0.9728155405481376,1.9625451885594047,0.7552152423298695,1.5848271926637651,3.3262581945799843,3.1105252389434983,6.46588917319793,535.201027629166,455.4631837102297,728.6720450765706,0.8168110112262752,0.5514303045705529,1.2656666029081571,1.370114630730555,1.0226810136813123,2.0826750636527596,3.3262581945799843,12.382929527751614,29.994319304794015
Burkina Faso,BFA,20670821.70242911,16738855.373602418,27629437.597720273,927661.4885695482,618085.9044539841,1500229.667571802,72647.27180541852,49582.74757985956,108833.91481630212,3379270.4127041176,2221037.01662388,5426777.021623874,16210994.525497686,13049181.097238714,21259448.355805926,727514.1515515454,479376.94879126764,1161943.4579785103,56973.280621524005,38793.59806755334,84956.62230910371,3024600.623737469,1918924.5070115959,4759217.942987579,9371923.2135623,11750940.940020824,19115067.259188198,420591.5161094466,430776.8169584471,1037730.8205028919,32937.47403157966,35160.54672325963,76615.95275163598,2000539.3397665122,1887003.3145839297,4714570.805628755,13188423.294614153,10677367.76697652,17639313.463669833,591867.7332468773,394180.6021068269,958049.6948636633,46350.50244065322,31611.886413614513,69522.29220524683,2160314.5141470926,1419356.192280908,3473054.8378366632,4459827.176931421,3689674.276363704,6369989.241914347,200147.337018003,138708.95566271647,338286.20959329157,15673.991183894517,10789.149512306221,23877.292507198406,354669.78896664875,302112.50961228425,667559.078636295,11298898.488866806,4987914.433581594,8514370.338532075,507069.97246010165,187309.08749553704,462498.84706891,39709.797773838865,14422.20085659994,32217.962064666146,354669.78896664875,334033.70203995024,712206.2159951185,7482398.4078149535,6061487.606625898,9990124.134050438,335793.755322671,223905.3023471572,542179.9727081386,26296.769364765307,17970.861166245053,39311.62261105528,354669.78896664875,801680.8243429719,1953722.1837872104
Burundi,BDI,8662845.11010352,7045812.516977391,11642843.909648545,263021.3032329631,176660.08424599408,411523.7092479209,22176.883481865014,15963.875792352082,33663.61953846137,1240910.194832005,836644.2937579094,1951944.666532732,6722657.402807249,5356456.77616373,8930831.555484341,204113.32406403372,136219.10665659746,313828.77639023756,17210.002951186558,12078.782967938712,26102.936645916045,1115464.983536122,729272.5914029285,1703489.9475022946,3766701.1451344457,4769208.03560419,8126016.1932699885,114364.58016857204,122147.59881543992,283153.0525812963,9642.754931544183,10942.362684347303,23868.30749667995,731053.3177825698,723045.4017822847,1700145.834535067,5415070.23426242,4403491.005832645,7281515.781885878,164412.3624526756,110425.18995418506,257287.82528927826,13862.579799711795,9975.304454096948,21057.612624774716,776596.9952529229,523627.28453596827,1221845.750664317,1940187.7072962716,1689355.7408136614,2712012.3541642018,58907.97916892938,40440.9775893966,97694.93285768334,4966.880530678456,3885.092824413372,7560.682892545325,125445.21129588317,107371.70235498104,248454.71903043738,4896143.964969075,2276604.4813732007,3516827.716378555,148656.72306439106,54512.48543055416,128370.65666662464,12534.128550320831,5021.5131080047795,9795.312041781419,125445.21129588317,113598.89197562482,251798.831997665,3247774.8758411007,2642321.511144746,4361328.127762666,98608.94078028749,66234.89429180903,154235.88395864266,8314.303682153219,5988.571338255137,12606.006913686653,125445.21129588317,313017.00922194123,730098.9158684149
Cameroon,CMR,14878558.092371225,11470005.520451173,20086613.125844236,254057.3308504756,170847.67714971738,394088.56867951975,38089.10871647034,27333.336563273282,53397.72027075146,1704333.9381525698,1128911.7126410236,2709315.225647165,12521209.268645678,9668465.689280473,16701245.394474149,213804.6567458324,142227.6822658091,330991.88124536385,32054.29572773294,23020.3270697759,44489.76330543541,1596372.951215067,1029410.4054354816,2500728.421707115,8810627.17610207,9065716.520033179,15565462.201081477,150444.98328281325,132530.223308601,309298.2473347967,22555.205570821297,21638.015946497635,41735.51359773784,1215215.5731452326,1029863.4780967458,2499442.576264852,10782601.969348978,8311092.796567725,14559929.210486675,184117.24166742153,123815.81413644427,285631.31965375884,27603.461041533385,19804.540810901875,38708.59596695055,1235988.4112946454,818657.3956553951,1964818.7656482903,2357348.823725547,1801539.831170699,3385367.7313700863,40252.67410464321,28619.994883908268,63096.68743415592,6034.812988737404,4313.009493497384,8907.956965316054,107960.98693750268,99501.30720554187,208586.80394004955,6067930.916269156,2404289.0004179934,4521150.924762758,103612.34756766236,38317.45384111637,84790.32134472305,15533.903145649045,5695.320616775649,11662.206673013618,107960.98693750268,99048.23454427764,209872.64938231272,4095956.123022248,3158912.7238834472,5526683.91535756,69940.08918305408,47031.86301327311,108457.24902576095,10485.647674936958,7528.795752371407,14689.124303800909,107960.98693750268,310254.31698562833,744496.4599988746
Central African Republic,CAF,3667294.1416924875,2766979.492909788,5464684.57390538,18132.935883598508,11827.021566968378,30479.148819225622,9762.922089546095,6983.165014250425,16034.70298076859,334882.8780183605,212439.28922442574,570440.139921956,3296029.3200396425,2472879.4371274253,4871810.5506160855,16297.216972936016,10526.057982758448,27328.765296227284,8774.555902285983,6280.76488470028,14263.966220820865,323258.97144223424,200465.49829233205,543449.8248108393,2735730.9815374203,2387611.011954,4663472.152419307,13526.821838211774,10127.07464124709,26259.57895084769,7282.952334546308,6074.297401281272,13572.4403809176,277647.4988430808,201713.26112391677,546106.7680323495,3053349.453124203,2303502.1282634987,4551442.902907567,15097.286370972619,9847.858706584002,25381.48389076024,8128.503379129653,5813.3877621838565,13355.226120764528,278982.19437037886,177008.9426403789,475365.3877276287,371264.82165284484,294100.0557823628,592874.0232892946,1835.7189106624928,1300.963584209932,3150.383522998334,988.3661872601125,702.4001295501449,1770.736759947726,11623.90657612629,11973.790932093698,26990.31511111674,931563.1601550672,379368.4809557878,801212.4214860732,4606.114045386733,1699.9469257212895,4219.569868377934,2479.969754999788,908.8676129691532,2462.2625998509893,11623.90657612629,10726.028100508962,24333.371889606486,613944.688568285,463477.3646462894,913241.6709978126,3035.649512625888,1979.162860384377,5097.6649284653795,1634.4187104164425,1169.777252066569,2679.476860004061,11623.90657612629,35430.34658404684,95074.7521943273
Chad,TCD,9443245.714316117,7208037.54617246,13585197.112370746,11431.048937179654,7802.161351424459,18868.325903177283,29656.563433157637,21172.778567798054,46292.97691664835,671499.764128809,441403.1356126418,1124828.376808514,8137540.05627323,6154373.567372044,11583274.768981883,9850.49223811874,6672.367976579368,16139.473193864282,25555.987863671246,18096.742803368274,39446.34664877456,642128.304530729,413151.8250607614,1053113.3772810607,6149779.975631646,5788624.138405663,10905334.814802166,7444.3086605021035,6246.965660718813,15247.281095744342,19313.416749369277,17059.639256420713,37132.83263203907,517058.8314742425,415131.7859389561,1063048.0089379023,7258295.831185077,5539251.943581575,10444047.888607806,8786.167103649532,5996.584277445264,14506.271437946596,22794.716694476356,16270.793981653334,35592.95870191806,516482.7865852992,339548.45459111483,865523.8143775328,1305705.6580428865,1053663.9788004155,2001922.3433888636,1580.5566990609134,1129.7933748450919,2728.8527093130024,4100.575569486387,3076.035764429782,6846.630267873792,29371.45959808007,28251.310551880393,71714.9995274533,3293465.7386844708,1419413.4077667964,2679862.2975685806,3986.7402766775504,1555.1956907056463,3621.0448074329433,10343.14668378836,4113.139311377341,9160.144284609283,29371.45959808007,26271.349673685712,61780.36787061163,2184949.88313104,1668785.6025908845,3141149.2237629406,2644.881833530122,1805.5770739791947,4362.054465230689,6861.846738681279,4901.984586144718,10700.018214730293,29371.45959808007,101854.68102152695,259304.56243098108
Comoros,COM,7559.241341239908,6466.364797019215,8752.119360356355,8.4402365593727,5.531562727292533,12.2528793673119,19.3516578335735,14.6476677415015,24.8850636779993,557.1387920101424,357.66132596359955,799.8843683138077,6091.627432943009,5154.325262159524,6945.717451691752,6.801578921036418,4.393815789594528,9.7146026413324,15.594566228333601,11.6843912126605,19.7276701649702,523.1746229982025,325.34522257320293,725.6945516512155,3776.265960006648,4708.207225513675,6360.96644100262,4.2163725927997815,3.9931277263838494,8.895245885234011,9.667240857616608,10.725144808137632,18.0252484596447,373.3533932599979,328.26664574094104,734.0164504839651,4989.214767606803,4267.894465820862,5776.545462369928,5.570685070521828,3.6509123305017277,8.0870792989107,12.772389805073,9.6676460093371,16.4245928704287,367.72690675596243,236.0661375209797,527.9440252994974,1467.6139082968998,1312.0395348596908,1806.401908664603,1.6386576383362823,1.1377469376980052,2.5382767259795003,3.7570916052399,2.963276528841,5.1573935130291,33.96416901193999,32.316103390396584,74.18981666259218,3782.97538123326,1758.1575715055392,2391.1529193537353,4.223863966572919,1.5384350009086831,3.357633482077889,9.684416975956891,3.922522933363868,6.8598152183546,33.96416901193999,29.394680222658504,65.8679178298426,2570.0265736331053,2198.4703311983526,2975.5738979864277,2.869551488850872,1.880650396790805,4.1658000684012,6.5792680285005005,4.9800217321644,8.4604708075706,33.96416901193999,121.59518844261981,271.9403430143103
Congo,COG,2360720.8020653804,1899094.9886852256,3160984.350706522,8380.558847332102,5297.06863089925,13182.942166860757,6043.445253287375,4393.347506797157,9019.98799881988,162817.41198071692,100317.14238525122,252521.39073957887,1935880.603961408,1553332.0573923015,2575687.1077355305,6872.376144062999,4305.744920962395,10612.636164175225,4955.854346141205,3572.8568070702313,7320.770307673856,152944.13159222805,91552.00312071166,231321.67558442903,1277746.5417553699,1433798.4588974996,2387216.89119552,4536.000223231564,3935.1132387746447,9762.629290787712,3271.0311468937475,3301.9230411300314,6785.525971783535,112689.9555370221,92239.77739887257,233168.24927962068,1635080.1780763825,1315230.3851425517,2189859.403683861,5804.534632171159,3668.643201203865,9132.281233446125,4185.80525587554,3042.4022514639264,6249.395622643355,112850.59324721228,69530.9655153206,175075.30435719513,424840.1981039726,345762.9312929241,585297.2429709914,1508.1827032691035,991.3237099368548,2570.306002685533,1087.5909071461697,820.4906997269254,1699.2176911460247,9873.280388488867,8765.139264539564,21199.71515514984,1082974.2603100105,465296.529787726,773767.4595110021,3844.5586241005385,1361.9553921246052,3420.3128760730456,2772.4141063936268,1091.4244656671256,2234.4620270363457,9873.280388488867,8077.3649863786595,19353.1414599582,725640.623988998,583864.6035426738,971124.947022661,2576.024215160944,1628.4254296953848,4050.6609334146324,1857.6399974118349,1350.9452553332308,2770.5923761765257,9873.280388488867,30786.176869930627,77446.08638238374
