year,est,min,max,VE,outcome
2021,9090735.18479264,5975305.423775683,13569286.439428877,VE0,I_
2022,27425116.60223046,18925303.86953609,39178261.56167586,VE0,I_
2023,55163969.98524955,39885857.71546508,76611273.02483365,VE0,I_
2024,92471378.09531742,68638498.96741499,125800170.54481848,VE0,I_
2025,140037918.57746333,106003146.62585273,187698375.72233546,VE0,I_
2026,198059851.303513,152739324.19532636,262552825.55485538,VE0,I_
2027,266685970.68082967,208871321.48710963,350191635.5121264,VE0,I_
2028,346092274.25263107,274326104.69912153,450878102.1899962,VE0,I_
2029,436454809.2949303,349947783.0223784,565555940.1470436,VE0,I_
2030,537949523.1125134,435568200.46772945,693038513.3693581,VE0,I_
2021,69540.06912941046,39114.03830417673,127848.83154057033,VE0,Ires_
2022,209699.89500041338,124723.61065943967,367806.0214207852,VE0,Ires_
2023,421618.4626449573,260180.57614466068,720569.3214398593,VE0,Ires_
2024,706461.7488502348,447329.72705391236,1181548.4535690453,VE0,Ires_
2025,1068446.7169879328,685833.4602198685,1764412.0051695444,VE0,Ires_
2026,1508966.4324024864,978678.4463672179,2464543.229855736,VE0,Ires_
2027,2029134.4124639297,1321918.2375980576,3285742.685256933,VE0,Ires_
2028,2630241.415429524,1719677.0307524232,4236513.163355092,VE0,Ires_
2029,3313577.958348976,2178370.310402709,5301560.665979311,VE0,Ires_
2030,4080427.10860228,2695150.2638172098,6494082.325647945,VE0,Ires_
2021,24843.502221572406,14393.968201798913,40496.95514830927,VE0,D_
2022,74940.44403320536,46546.086692068726,117600.9681982706,VE0,D_
2023,150727.25818389282,97701.17645566628,230042.14622074185,VE0,D_
2024,252649.10734252929,168856.59582795983,377365.5947595713,VE0,D_
2025,382535.7668089969,262582.003888198,563667.2852872986,VE0,D_
2026,540918.9740457542,378306.2529281899,788218.3023401938,VE0,D_
2027,728200.0545782559,516080.6546257852,1050729.0922937621,VE0,D_
2028,944854.5267328278,675755.6412392227,1352724.087088067,VE0,D_
2029,1191358.044003853,858709.5239708573,1696361.502041452,VE0,D_
2030,1468186.1051918445,1065077.7831406237,2080806.3672037476,VE0,D_
2021,69540.06912941046,39114.03830417673,127848.83154057033,VE0,Ires2_
2022,489420.293909624,283370.1938935017,859285.7359065008,VE0,Ires2_
2023,1545011.229654559,913143.4282324961,2628985.458666889,VE0,Ires2_
2024,3526186.0427238406,2152274.6456609517,5815134.91284702,VE0,Ires2_
2025,6793299.899304127,4189686.1037735203,11042314.535592604,VE0,Ires2_
2026,11662475.992643494,7274277.047036109,18779693.25476939,VE0,Ires2_
2027,18455143.843687154,11622351.387135861,29454870.581070118,VE0,Ires2_
2028,27497283.145427585,17446740.583031736,43599046.29748281,VE0,Ires2_
2029,39119979.96909184,25028432.475075528,61620730.93764662,VE0,Ires2_
2030,53659553.14199397,34635635.423213795,83955698.54890186,VE0,Ires2_
2021,6545329.333050701,4302219.9051184915,9769886.236388791,VE1,I_
2022,19746083.953605935,13626218.786065985,28208348.32440662,VE1,I_
2023,39717359.21126482,28717397.714533284,55158886.645057335,VE1,I_
2024,66576584.898664795,49418047.529941544,90571384.70490018,VE1,I_
2025,103512554.19875786,78391407.38063931,138774977.50960785,VE1,I_
2026,150710961.2746867,116404579.24356313,199879670.05030727,VE1,I_
2027,208326513.2694705,163586407.86151433,273526786.9384593,VE1,I_
2028,276534453.7173662,219885541.5480903,360049205.54173267,VE1,I_
2029,355510738.7789898,286101267.884592,460309846.76032656,VE1,I_
2030,445437499.0920297,362071565.3986668,573129255.324122,VE1,I_
